unit_id,property_id,property_name,unit_type,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,area_min_sqft,area_max_sqft,price_min,price_max,currency,payment_plan,down_payment,installment_years,availability_status,price_status,price_source,last_verified,confidence_score
8aed16b5_4982_ec11_a2bf_00155d119927_inventory,8aed16b5_4982_ec11_a2bf_00155d119927,Al Karama,Commercial,0,3,unknown,unknown,unknown,unknown,15000,15000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Karama&pageNumber=1&pageSize=100,2026-06-24,0.80
44b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,44b8dd4b_0ad1_e811_a2b8_00155d119707,Al Khor Villas & Shops,Villa,unknown,unknown,unknown,unknown,unknown,unknown,48000,48000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Khor%20Villas%20%26%20Shops&pageNumber=1&pageSize=100,2026-06-24,0.80
9cb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,9cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Madina Tower,Commercial,1,3,unknown,unknown,unknown,unknown,27000,27000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Madina%20Tower&pageNumber=1&pageSize=100,2026-06-24,0.80
7cb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,7cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama Buildings,Commercial,0,3,unknown,unknown,unknown,unknown,10000,10000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Buildings&pageNumber=1&pageSize=100,2026-06-24,0.80
74b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,74b8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama Farm,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Farm&pageNumber=1&pageSize=100,2026-06-24,0.60
52cf79ec_eb47_ea11_a2bc_00155d119619_inventory,52cf79ec_eb47_ea11_a2bc_00155d119619,Al Manama Land,Land,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Land&pageNumber=1&pageSize=100,2026-06-24,0.60
6eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,6eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama New Shops,Retail,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20New%20Shops&pageNumber=1&pageSize=100,2026-06-24,0.68
48b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,48b8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama Old Clinic,Healthcare,1,3,unknown,unknown,unknown,unknown,14400,14400,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Old%20Clinic&pageNumber=1&pageSize=100,2026-06-24,0.80
0ab8dd4b_0ad1_e811_a2b8_00155d119707_inventory,0ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Manara,Commercial,0,3,unknown,unknown,unknown,unknown,16800,16800,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manara&pageNumber=1&pageSize=100,2026-06-24,0.80
94b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,94b8dd4b_0ad1_e811_a2b8_00155d119707,Al Maya Super market,Commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Maya%20Super%20market&pageNumber=1&pageSize=100,2026-06-24,0.68
