property_id,property_name,developer,city,district,community,country,property_type,sub_type,ownership_type,status,completion_status,launch_year,handover_year,source_url,last_verified,confidence_score
90b8dd4b_0ad1_e811_a2b8_00155d119707,Al Sheikh Humaid Building (Abu-Dhabi),Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikh%20Humaid%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100,2026-06-24,0.86
b4b8dd4b_0ad1_e811_a2b8_00155d119707,Al Sheikha Fatima Building (Abu-Dhabi),Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikha%20Fatima%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100,2026-06-24,0.86
44f00817_9e49_eb11_a2c6_00155d119619,Al Shorouq,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"Studio, 1, 2, 3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Shorouq&pageNumber=1&pageSize=100,2026-06-24,0.86
0eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Suwan,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Suwan&pageNumber=1&pageSize=100,2026-06-24,0.86
10b8dd4b_0ad1_e811_a2b8_00155d119707,Al Tameer,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Tameer&pageNumber=1&pageSize=100,2026-06-24,0.86
a8b8dd4b_0ad1_e811_a2b8_00155d119707,Al Thuraya 1,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%201&pageNumber=1&pageSize=100,2026-06-24,0.86
aab8dd4b_0ad1_e811_a2b8_00155d119707,Al Thuraya 2,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%202&pageNumber=1&pageSize=100,2026-06-24,0.86
acb8dd4b_0ad1_e811_a2b8_00155d119707,Al Thuraya 3,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%203&pageNumber=1&pageSize=100,2026-06-24,0.86
42b8dd4b_0ad1_e811_a2b8_00155d119707,Al Yasmeen Complex,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,Leasing,unknown,active,"Studio, 1, 2, 3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Yasmeen%20%20Complex&pageNumber=1&pageSize=100,2026-06-24,0.86
beabdf96_e122_e911_a2b8_00155d119707,Al Zahir,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Zahir&pageNumber=1&pageSize=100,2026-06-24,0.86
02b8dd4b_0ad1_e811_a2b8_00155d119707,Al Zahra Complex,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"Studio, 1, 2, 3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Zahra%20Complex&pageNumber=1&pageSize=100,2026-06-24,0.86
6c1c103f_f0f0_ea11_a2c4_00155d119619,Al-Khour Tower C,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al-Khour%20Tower%20C&pageNumber=1&pageSize=100,2026-06-24,0.86
eeb7dd4b_0ad1_e811_a2b8_00155d119707,AL-Khour Towers,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,sold_out,100% Sold out,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=AL-Khour%20Towers&pageNumber=1&pageSize=100,2026-06-24,0.86
88b8dd4b_0ad1_e811_a2b8_00155d119707,Amina Hospital,Aqaar,Ajman,unknown,unknown,United Arab Emirates,healthcare,healthcare,unknown,active,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Amina%20Hospital&pageNumber=1&pageSize=100,2026-06-24,0.62
98de02ed_2222_e911_a2b8_00155d119707,Aqaar Offices,Aqaar,Ajman,unknown,unknown,United Arab Emirates,commercial,commercial,unknown,active,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Aqaar%20Offices&pageNumber=1&pageSize=100,2026-06-24,0.62
1ab8dd4b_0ad1_e811_a2b8_00155d119707,Asayel 1,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Asayel%201&pageNumber=1&pageSize=100,2026-06-24,0.86
a0b8dd4b_0ad1_e811_a2b8_00155d119707,Asayel 2,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Asayel%202&pageNumber=1&pageSize=100,2026-06-24,0.86
c05d8b0f_bab9_e911_a2bb_00155d119619,Beach Residence,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,sold_out,100% Sold out,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Beach%20Residence&pageNumber=1&pageSize=100,2026-06-24,0.62
5cb8dd4b_0ad1_e811_a2b8_00155d119707,Bloomington School,Aqaar,Ajman,unknown,unknown,United Arab Emirates,education,education,unknown,active,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Bloomington%20School&pageNumber=1&pageSize=100,2026-06-24,0.62
