property_id,location_name,city,district,community,nearest_landmark,nearest_mall,nearest_school,nearest_hospital,nearest_beach,nearest_airport,nearest_highway,latitude,longitude,source_url,last_verified,confidence_score
88c9f0b0_29ea_f011_8406_70a8a5211049,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Refaa&pageNumber=1&pageSize=100,2026-06-24,0.60
f0d34484_309f_ee11_a2bf_00155d119841,Rumaila 1,Ajman,Rumaila 1,Rumaila 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.401353949170037,55.43388024553958,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumaila%201&pageNumber=1&pageSize=100,2026-06-24,0.80
18b8dd4b_0ad1_e811_a2b8_00155d119707,Rumaila 1,Ajman,Rumaila 1,Rumaila 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4042778,55.43552,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumailah&pageNumber=1&pageSize=100,2026-06-24,0.80
86b8dd4b_0ad1_e811_a2b8_00155d119707,Rumaila 1,Ajman,Rumaila 1,Rumaila 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4019146,55.4332886,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumailah%20New%20Villas&pageNumber=1&pageSize=100,2026-06-24,0.80
11f6f9c7_d27d_ec11_a2ca_00155d119619,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sediq&pageNumber=1&pageSize=100,2026-06-24,0.80
32b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.398945,55.482374,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Shahba&pageNumber=1&pageSize=100,2026-06-24,0.86
90b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Abu Dhabi,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,24.4746348,54.342818,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikh%20Humaid%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100,2026-06-24,0.80
b4b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Abu Dhabi,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,24.477298,54.366572,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikha%20Fatima%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100,2026-06-24,0.80
44f00817_9e49_eb11_a2c6_00155d119619,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.389509,55.468506,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Shorouq&pageNumber=1&pageSize=100,2026-06-24,0.80
0eb8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.404027,55.440389,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Suwan&pageNumber=1&pageSize=100,2026-06-24,0.80
10b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.406293,55.440699,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Tameer&pageNumber=1&pageSize=100,2026-06-24,0.80
