property_id,project_id,property_name,developer,listing_url,property_type,sub_type,bedrooms,bathrooms,bua,plot_size,price,currency,ownership_type,status,source_url,last_verified
property_1cb8dd4b_0ad1_e811_a2b8_00155d119707,1cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Villas,Aqaar,https://www.aqaar.com/projects/1cb8dd4b-0ad1-e811-a2b8-00155d119707,villa,villa,unknown,unknown,unknown,unknown,75000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas&pageNumber=1&pageSize=100,2026-06-24
property_1eb8dd4b_0ad1_e811_a2b8_00155d119707,1eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Villas 2,Aqaar,https://www.aqaar.com/projects/1eb8dd4b-0ad1-e811-a2b8-00155d119707,villa,villa,unknown,unknown,unknown,unknown,80000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas%202&pageNumber=1&pageSize=100,2026-06-24
property_8aed16b5_4982_ec11_a2bf_00155d119927,8aed16b5_4982_ec11_a2bf_00155d119927,Al Karama,Aqaar,https://www.aqaar.com/projects/8aed16b5-4982-ec11-a2bf-00155d119927,residential,residential,unknown,unknown,unknown,unknown,15000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Karama&pageNumber=1&pageSize=100,2026-06-24
property_44b8dd4b_0ad1_e811_a2b8_00155d119707,44b8dd4b_0ad1_e811_a2b8_00155d119707,Al Khor Villas & Shops,Aqaar,https://www.aqaar.com/projects/44b8dd4b-0ad1-e811-a2b8-00155d119707,commercial,commercial,unknown,unknown,unknown,unknown,48000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Khor%20Villas%20%26%20Shops&pageNumber=1&pageSize=100,2026-06-24
property_9cb8dd4b_0ad1_e811_a2b8_00155d119707,9cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Madina Tower,Aqaar,https://www.aqaar.com/projects/9cb8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,27000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Madina%20Tower&pageNumber=1&pageSize=100,2026-06-24
property_7cb8dd4b_0ad1_e811_a2b8_00155d119707,7cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama Buildings,Aqaar,https://www.aqaar.com/projects/7cb8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,10000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Buildings&pageNumber=1&pageSize=100,2026-06-24
property_74b8dd4b_0ad1_e811_a2b8_00155d119707,74b8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama Farm,Aqaar,https://www.aqaar.com/projects/74b8dd4b-0ad1-e811-a2b8-00155d119707,mixed_use,mixed_use,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Farm&pageNumber=1&pageSize=100,2026-06-24
property_52cf79ec_eb47_ea11_a2bc_00155d119619,52cf79ec_eb47_ea11_a2bc_00155d119619,Al Manama Land,Aqaar,https://www.aqaar.com/projects/52cf79ec-eb47-ea11-a2bc-00155d119619,mixed_use,mixed_use,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Land&pageNumber=1&pageSize=100,2026-06-24
property_6eb8dd4b_0ad1_e811_a2b8_00155d119707,6eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama New Shops,Aqaar,https://www.aqaar.com/projects/6eb8dd4b-0ad1-e811-a2b8-00155d119707,commercial,commercial,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20New%20Shops&pageNumber=1&pageSize=100,2026-06-24
property_48b8dd4b_0ad1_e811_a2b8_00155d119707,48b8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama Old Clinic,Aqaar,https://www.aqaar.com/projects/48b8dd4b-0ad1-e811-a2b8-00155d119707,healthcare,healthcare,unknown,unknown,unknown,unknown,14400,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Old%20Clinic&pageNumber=1&pageSize=100,2026-06-24
property_0ab8dd4b_0ad1_e811_a2b8_00155d119707,0ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Manara,Aqaar,https://www.aqaar.com/projects/0ab8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,16800,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manara&pageNumber=1&pageSize=100,2026-06-24
property_94b8dd4b_0ad1_e811_a2b8_00155d119707,94b8dd4b_0ad1_e811_a2b8_00155d119707,Al Maya Super market,Aqaar,https://www.aqaar.com/projects/94b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Maya%20Super%20market&pageNumber=1&pageSize=100,2026-06-24
property_12b8dd4b_0ad1_e811_a2b8_00155d119707,12b8dd4b_0ad1_e811_a2b8_00155d119707,Al Monaliza,Aqaar,https://www.aqaar.com/projects/12b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,13200,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Monaliza&pageNumber=1&pageSize=100,2026-06-24
