asset_id,asset_type,title,url,project,developer,source_page
project_image_3cb8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Berouj 2 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728879604/Aqaar/Main%20Portal/community/images/Al_Berouj_2/_DSC1835-1728879604.jpg,Al Berouj 2,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%202&pageNumber=1&pageSize=100
project_image_3eb8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Berouj 3 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728555812/Aqaar/Main%20Portal/community/images/Al_Berouj_3/_DSC1822-1728555811.jpg,Al Berouj 3,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%203&pageNumber=1&pageSize=100
project_image_40b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Berouj 4 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728555856/Aqaar/Main%20Portal/community/images/Al_Berouj_4/_DSC1830-1728555854.jpg,Al Berouj 4,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%204&pageNumber=1&pageSize=100
project_image_ecb7dd4b_0ad1_e811_a2b8_00155d119707,image,Al Bustan primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728555369/Aqaar/Main%20Portal/community/images/Al_Bustan/_DSC1799-1728555368.jpg,Al Bustan,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Bustan&pageNumber=1&pageSize=100
project_image_e6b7dd4b_0ad1_e811_a2b8_00155d119707,image,Al Dana primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1737006149/Aqaar/Main%20Portal/community/images/Al_Dana/swx-1737006149.jpg,Al Dana,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Dana&pageNumber=1&pageSize=100
project_image_feb7dd4b_0ad1_e811_a2b8_00155d119707,image,Al Durra primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1737005510/Aqaar/Main%20Portal/community/images/Al_Durra/%D9%84%D9%82%D8%B7%D8%A9%20%D8%B4%D8%A7%D8%B4%D8%A9%202025-01-16%20092934-1737005510.png,Al Durra,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Durra&pageNumber=1&pageSize=100
project_image_b0b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Fazzan primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728901697/Aqaar/Main%20Portal/community/images/Al_Fazzan/fazaan-1728901697.png,Al Fazzan,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Fazzan&pageNumber=1&pageSize=100
project_image_f4502104_adbf_ec11_a2bf_00155d119927,image,Al Gharoub primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1726688026/Aqaar/Main%20Portal/community/images/Al_Gharoub/PSX_20220117_220500-min-1726688026.jpg,Al Gharoub,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Gharoub&pageNumber=1&pageSize=100
project_image_e8b7dd4b_0ad1_e811_a2b8_00155d119707,image,Al Itihad primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728877248/Aqaar/Main%20Portal/community/images/Al_Itihad/image00014-1728877248.jpg,Al Itihad,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Itihad&pageNumber=1&pageSize=100
project_image_a6b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Johara primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728630500/Aqaar/Main%20Portal/community/images/Al_Johara/WhatsApp%20Image%202024-10-11%20at%2010.53.04%20AM-1728630500.jpg,Al Johara,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Johara&pageNumber=1&pageSize=100
